[-1, -1]	[-1, 0]	[-1, 1]	[0, -1]	[0, 0]	[0, 1]	[1, -1]	[1, 0]	[1, 1]
0.2188	0.0652	0.006	0.0764	0.2532	0.076	0.0052	0.0836	0.2156
0.2188	0.0652	0.006	0.0764	0.2532	0.076	0.0052	0.0836	0.2156
0.2188	0.0652	0.006	0.0764	0.2532	0.076	0.0052	0.0836	0.2156
0.2188	0.0652	0.006	0.0764	0.2532	0.076	0.0052	0.0836	0.2156
0.2188	0.0652	0.006	0.0764	0.2532	0.076	0.0052	0.0836	0.2156
0.2192	0.0648	0.006	0.0764	0.2532	0.076	0.0052	0.0836	0.2156
0.2192	0.0648	0.006	0.0764	0.2532	0.076	0.0052	0.0836	0.2156
0.2192	0.0648	0.006	0.0764	0.2532	0.076	0.0052	0.0836	0.2156
0.2192	0.0648	0.006	0.0764	0.2532	0.076	0.0052	0.0836	0.2156
0.2192	0.0648	0.006	0.0764	0.2532	0.076	0.0052	0.0836	0.2156
0.2192	0.0648	0.006	0.0764	0.2532	0.076	0.0052	0.0836	0.2156
0.2192	0.0648	0.006	0.0764	0.2532	0.076	0.0048	0.084	0.2156
0.2192	0.0648	0.006	0.0764	0.2532	0.076	0.0048	0.084	0.2156
0.2192	0.0648	0.006	0.0764	0.2532	0.076	0.0048	0.084	0.2156
0.2192	0.0648	0.006	0.0764	0.2532	0.076	0.0048	0.084	0.2156
0.2192	0.0648	0.006	0.0764	0.2532	0.076	0.0048	0.084	0.2156
0.2192	0.0648	0.006	0.0768	0.2532	0.076	0.0044	0.084	0.2156
0.2192	0.0648	0.006	0.0768	0.2532	0.076	0.0044	0.084	0.2156
0.2192	0.0648	0.006	0.0768	0.2532	0.076	0.0044	0.084	0.2156
0.2192	0.0648	0.006	0.0768	0.2532	0.076	0.0044	0.084	0.2156
0.2192	0.0648	0.006	0.0768	0.2532	0.076	0.0044	0.084	0.2156
0.2192	0.0648	0.006	0.0768	0.2532	0.076	0.0044	0.084	0.2156
0.2192	0.0648	0.006	0.0768	0.2532	0.076	0.0044	0.084	0.2156
0.2192	0.0648	0.006	0.0768	0.2532	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0764	0.2532	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0764	0.2532	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0764	0.2532	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0764	0.2532	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0764	0.2532	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0768	0.2528	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0768	0.2528	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0768	0.2528	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0768	0.2528	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0768	0.2528	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0768	0.2528	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0768	0.2528	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0768	0.2528	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0768	0.2528	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0768	0.2528	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0768	0.2528	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0768	0.2528	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0768	0.2528	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0768	0.2528	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0768	0.2528	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0768	0.2528	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0772	0.2524	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0772	0.2524	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0772	0.2524	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0772	0.2524	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0772	0.2524	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0772	0.2524	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0772	0.2524	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0772	0.2524	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0772	0.2524	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0772	0.2524	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0772	0.2524	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0772	0.2524	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0772	0.2524	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0772	0.2524	0.076	0.0044	0.084	0.2156
0.2196	0.0648	0.006	0.0772	0.2524	0.076	0.0044	0.084	0.2156
0.22	0.0644	0.006	0.0772	0.2524	0.076	0.0044	0.084	0.2156
0.2208	0.064	0.006	0.0768	0.2524	0.076	0.0044	0.084	0.2156
0.2208	0.064	0.006	0.0768	0.2524	0.076	0.0044	0.084	0.2156
0.2212	0.0636	0.006	0.0768	0.2528	0.0756	0.0044	0.084	0.2156
0.2212	0.0636	0.006	0.0768	0.2528	0.0756	0.0044	0.084	0.2156
0.2212	0.0644	0.0052	0.0768	0.2528	0.0756	0.0044	0.084	0.2156
0.2216	0.0648	0.0052	0.0764	0.2524	0.0756	0.0044	0.084	0.2156
0.2216	0.0648	0.0052	0.0764	0.2524	0.0756	0.0044	0.084	0.2156
0.2216	0.0648	0.0052	0.0764	0.2524	0.0756	0.0044	0.084	0.2156
0.2216	0.0648	0.0052	0.0764	0.2528	0.0756	0.0044	0.0836	0.2156
0.2224	0.0644	0.0052	0.0764	0.2524	0.0756	0.0044	0.0836	0.2156
0.2228	0.0644	0.0052	0.076	0.2524	0.0756	0.0044	0.0836	0.2156
0.2228	0.0644	0.0052	0.076	0.2524	0.0756	0.0044	0.0836	0.2156
0.2228	0.0644	0.0052	0.076	0.2524	0.0756	0.0044	0.0836	0.2156
0.2232	0.0644	0.0052	0.0756	0.2528	0.0752	0.0044	0.0836	0.2156
0.2236	0.064	0.0052	0.0756	0.2528	0.0752	0.0044	0.0836	0.2156
0.2236	0.064	0.0052	0.0756	0.2528	0.0752	0.0044	0.0836	0.2156
0.2236	0.0644	0.0052	0.0756	0.2524	0.0752	0.0044	0.0836	0.2156
0.2236	0.0644	0.0052	0.0756	0.2524	0.0752	0.0044	0.0836	0.2156
0.2236	0.0644	0.0052	0.0756	0.2524	0.0752	0.0044	0.0836	0.2156
0.224	0.0644	0.0052	0.0752	0.2524	0.0752	0.0044	0.0836	0.2156
0.224	0.0644	0.0052	0.0752	0.2528	0.0752	0.0044	0.0832	0.2156
0.224	0.0644	0.0052	0.0752	0.2528	0.0752	0.0044	0.0836	0.2152
0.224	0.0644	0.0052	0.0752	0.2528	0.0752	0.0044	0.0836	0.2152
0.224	0.0648	0.0052	0.0756	0.2524	0.0752	0.0044	0.0832	0.2152
0.224	0.0648	0.0052	0.0756	0.2524	0.0752	0.0044	0.0832	0.2152
0.224	0.0648	0.0052	0.0756	0.2524	0.0752	0.0044	0.0832	0.2152
0.224	0.0648	0.0052	0.0756	0.2524	0.0752	0.0044	0.0832	0.2152
0.224	0.0648	0.0052	0.0756	0.2524	0.0752	0.0044	0.0832	0.2152
0.224	0.0644	0.0052	0.074	0.2516	0.0752	0.0044	0.0828	0.2184
0.2244	0.0644	0.0052	0.0732	0.2512	0.0744	0.0044	0.0824	0.2204
0.224	0.064	0.0052	0.0732	0.252	0.0744	0.0044	0.0816	0.2212
0.2228	0.0644	0.0052	0.0732	0.252	0.0736	0.0044	0.0816	0.2228
0.222	0.064	0.0052	0.0728	0.252	0.0736	0.004	0.082	0.2244
0.2212	0.064	0.0052	0.0736	0.2516	0.0728	0.004	0.082	0.2256
0.2212	0.0644	0.0052	0.0724	0.2508	0.0732	0.004	0.082	0.2268
0.2208	0.0648	0.0052	0.072	0.2516	0.0728	0.004	0.0812	0.2276
0.2208	0.0644	0.0052	0.0708	0.2524	0.0732	0.004	0.0816	0.2276
0.2216	0.0644	0.0052	0.07	0.2524	0.0728	0.004	0.0816	0.228
0.2216	0.0644	0.0052	0.07	0.2512	0.0724	0.004	0.0816	0.2296
0.2216	0.0644	0.0052	0.0688	0.2512	0.0724	0.004	0.082	0.2304
0.222	0.064	0.0048	0.0684	0.2516	0.0724	0.004	0.082	0.2308
0.2224	0.064	0.0048	0.0676	0.2516	0.0724	0.004	0.0812	0.232
0.2232	0.0636	0.0048	0.0672	0.2516	0.0724	0.004	0.0812	0.232
0.2232	0.0644	0.0044	0.0668	0.2512	0.0728	0.004	0.0816	0.2316
0.2228	0.0644	0.0044	0.0672	0.2508	0.0728	0.004	0.0816	0.232
0.2232	0.064	0.0044	0.0672	0.2508	0.0724	0.004	0.0816	0.2324
