[-1, -1]	[-1, 0]	[-1, 1]	[0, -1]	[0, 0]	[0, 1]	[1, -1]	[1, 0]	[1, 1]
0.3988	0.0068	0.0	0.0108	0.1844	0.0064	0.0	0.0052	0.3876
0.3988	0.0068	0.0	0.0108	0.1844	0.0064	0.0	0.0052	0.3876
0.3988	0.0068	0.0	0.0108	0.1844	0.006	0.0	0.0052	0.388
0.3992	0.0064	0.0	0.0108	0.1844	0.006	0.0	0.0052	0.388
0.3996	0.0064	0.0	0.0104	0.1844	0.006	0.0	0.0052	0.388
0.3996	0.0064	0.0	0.0104	0.184	0.006	0.0	0.0052	0.3884
0.3996	0.0064	0.0	0.0104	0.184	0.0056	0.0	0.0048	0.3892
0.4	0.0064	0.0	0.01	0.184	0.0056	0.0	0.0048	0.3892
0.4	0.0064	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4008	0.0056	0.0	0.01	0.1832	0.0052	0.0	0.0052	0.39
0.4008	0.0056	0.0	0.01	0.1832	0.0052	0.0	0.0052	0.39
0.4008	0.0056	0.0	0.01	0.1828	0.0052	0.0	0.0052	0.3904
0.4008	0.0056	0.0	0.01	0.1828	0.0052	0.0	0.0052	0.3904
0.4008	0.0056	0.0	0.01	0.1828	0.0048	0.0	0.0052	0.3908
0.4008	0.0056	0.0	0.01	0.1828	0.0048	0.0	0.0052	0.3908
0.4008	0.0056	0.0	0.01	0.1824	0.0052	0.0	0.0044	0.3916
0.4008	0.0056	0.0	0.01	0.1824	0.0052	0.0	0.0044	0.3916
0.4012	0.0056	0.0	0.0096	0.1824	0.0052	0.0	0.0044	0.3916
0.4012	0.0056	0.0	0.0096	0.1824	0.0052	0.0	0.0044	0.3916
0.4012	0.0056	0.0	0.0096	0.1824	0.0048	0.0	0.0044	0.392
0.4012	0.0056	0.0	0.0092	0.1828	0.0048	0.0	0.0044	0.392
0.4012	0.0056	0.0	0.0092	0.1828	0.0048	0.0	0.0044	0.392
0.4016	0.0056	0.0	0.0088	0.1828	0.0048	0.0	0.0044	0.392
0.402	0.0056	0.0	0.0088	0.1824	0.0048	0.0	0.0044	0.392
0.402	0.0056	0.0	0.0088	0.1824	0.0044	0.0	0.0044	0.3924
0.402	0.0056	0.0	0.0088	0.1824	0.0044	0.0	0.0044	0.3924
0.402	0.0056	0.0	0.0088	0.1824	0.0044	0.0	0.0044	0.3924
0.402	0.0056	0.0	0.0088	0.1824	0.0044	0.0	0.0044	0.3924
0.402	0.0056	0.0	0.0088	0.1824	0.0044	0.0	0.0044	0.3924
0.402	0.0056	0.0	0.0088	0.1824	0.0044	0.0	0.0044	0.3924
0.4024	0.0052	0.0	0.0088	0.1824	0.0044	0.0	0.0044	0.3924
0.4024	0.0052	0.0	0.0088	0.1824	0.0044	0.0	0.004	0.3928
0.4028	0.0052	0.0	0.0084	0.1824	0.0044	0.0	0.004	0.3928
0.4028	0.0052	0.0	0.0084	0.1824	0.0044	0.0	0.004	0.3928
0.4028	0.0052	0.0	0.0084	0.1824	0.0044	0.0	0.004	0.3928
0.4028	0.0052	0.0	0.0084	0.1824	0.0044	0.0	0.004	0.3928
0.4028	0.0052	0.0	0.0084	0.1824	0.0044	0.0	0.004	0.3928
0.4028	0.0052	0.0	0.0084	0.1824	0.0044	0.0	0.004	0.3928
0.4028	0.0052	0.0	0.0084	0.1824	0.0044	0.0	0.004	0.3928
0.4028	0.0052	0.0	0.0084	0.1824	0.004	0.0	0.004	0.3932
0.4028	0.0052	0.0	0.0084	0.1816	0.004	0.0	0.004	0.394
0.4028	0.0052	0.0	0.0084	0.1816	0.004	0.0	0.004	0.394
0.4028	0.0052	0.0	0.0084	0.1816	0.004	0.0	0.004	0.394
0.4028	0.0052	0.0	0.0084	0.1816	0.004	0.0	0.004	0.394
0.4028	0.0052	0.0	0.0084	0.1816	0.004	0.0	0.004	0.394
0.4028	0.0052	0.0	0.0084	0.1816	0.004	0.0	0.004	0.394
0.4028	0.0052	0.0	0.0084	0.1816	0.0036	0.0	0.004	0.3944
0.4028	0.0052	0.0	0.0084	0.1816	0.0036	0.0	0.004	0.3944
0.4028	0.0052	0.0	0.0084	0.1816	0.0036	0.0	0.004	0.3944
0.4028	0.0052	0.0	0.0084	0.1816	0.0036	0.0	0.004	0.3944
0.4028	0.0052	0.0	0.0084	0.1816	0.0036	0.0	0.004	0.3944
0.4028	0.0052	0.0	0.0084	0.1812	0.0036	0.0	0.004	0.3948
0.4028	0.0052	0.0	0.0084	0.1812	0.0036	0.0	0.004	0.3948
0.4028	0.0052	0.0	0.0084	0.1812	0.0036	0.0	0.004	0.3948
0.4028	0.0052	0.0	0.0084	0.1812	0.0036	0.0	0.004	0.3948
0.4028	0.0052	0.0	0.0084	0.1812	0.0036	0.0	0.004	0.3948
0.4032	0.0052	0.0	0.008	0.1812	0.0036	0.0	0.004	0.3948
0.4032	0.0052	0.0	0.008	0.1812	0.0036	0.0	0.004	0.3948
0.4032	0.0052	0.0	0.008	0.1812	0.0036	0.0	0.004	0.3948
0.4032	0.0052	0.0	0.0076	0.18	0.0036	0.0	0.0044	0.396
0.4028	0.0052	0.0	0.0076	0.178	0.0036	0.0	0.0044	0.3984
0.4024	0.0052	0.0	0.0076	0.1772	0.0036	0.0	0.0044	0.3996
0.402	0.0052	0.0	0.008	0.1748	0.004	0.0	0.004	0.402
0.4024	0.0052	0.0	0.008	0.174	0.004	0.0	0.004	0.4024
0.4024	0.0052	0.0	0.008	0.1712	0.0044	0.0	0.004	0.4048
0.4024	0.0052	0.0	0.008	0.1708	0.0044	0.0	0.004	0.4052
0.402	0.0052	0.0	0.008	0.1696	0.0048	0.0	0.004	0.4064
0.402	0.0052	0.0	0.0076	0.1696	0.0048	0.0	0.004	0.4068
0.402	0.0052	0.0	0.0076	0.1684	0.0044	0.0	0.004	0.4084
0.402	0.0048	0.0	0.0076	0.1688	0.004	0.0	0.004	0.4088
0.402	0.0048	0.0	0.0076	0.1684	0.004	0.0	0.004	0.4092
0.402	0.0048	0.0	0.0076	0.1684	0.004	0.0	0.004	0.4092
0.402	0.0048	0.0	0.0076	0.1684	0.004	0.0	0.004	0.4092
0.402	0.0048	0.0	0.0076	0.168	0.004	0.0	0.004	0.4096
0.4024	0.0048	0.0	0.0076	0.1672	0.004	0.0	0.004	0.41
0.402	0.0048	0.0	0.0076	0.1676	0.004	0.0	0.004	0.41
0.402	0.0048	0.0	0.0076	0.1668	0.004	0.0	0.0044	0.4104
